bank_ticker,scenario,size_category,direct_loss,indirect_loss,total_loss,ckpn_buffer,loss_after_ckpn,indirect_mining_exposure,total_equity_usd_m,total_assets_usd_m,gross_loans_usd_m,mining_loans_usd_m,net_income_usd_m,rwa,CAR_before,CAR_after,CAR_impact,CAR_impact_after_ckpn,CAR_after_with_ckpn,car_source,ROA_before,ROA_after,ROA_impact,car_breach_ojk,car_breach_dsib,profit_impact_pct,loss_pct_equity
NISP,BAU,Large,0.0,0.0,0.0,31.552156958008425,0.0,0.0,2775.7339873417723,19502.54316455696,10973.075949367088,0.0,,16881.655306718596,0.236,0.236,0.0,0.0,0.236,annual_report_2024,,0.0,,False,False,,0.0
NISP,2C,Large,0.7599789430779733,0.0,0.7599789430779733,31.552156958008425,0.0,0.0,2775.7339873417723,19502.54316455696,10973.075949367088,0.0,,16881.655306718596,0.236,0.23595498196537779,4.50180346222041e-05,0.0,0.236,annual_report_2024,,-3.8968196950802025e-05,,False,False,,0.027379386733156652
NISP,1.5C,Large,0.5131318863398828,0.0,0.5131318863398828,31.552156958008425,0.0,0.0,2775.7339873417723,19502.54316455696,10973.075949367088,0.0,,16881.655306718596,0.236,0.2359696041722795,3.039582772049999e-05,0.0,0.236,annual_report_2024,,-2.6311024260283425e-05,,False,False,,0.01848634950899211
BNGA,BAU,DSIB,0.0,1.0281394922183544,1.0281394922183544,41.49388829237968,0.0,456.95088543037974,3366.8561392405063,22798.7664556962,14430.569303797469,467.08835443037975,436.6413924050633,22200.875851996105,0.233,0.23295368923734935,4.631076265065071e-05,0.0,0.233,annual_report_2024,0.0198647736150057,0.019106878161998467,0.0007578954530072339,False,False,0.23546542084690184,0.030537078202880437
BNGA,2C,DSIB,16.24612248954626,10.281394922183544,26.527517411729804,41.49388829237968,0.0,456.95088543037974,3366.8561392405063,22798.7664556962,14430.569303797469,467.08835443037975,436.6413924050633,22200.875851996105,0.233,0.23180511392484796,0.0011948860751520615,0.0,0.233,annual_report_2024,0.0198647736150057,0.017988423882067877,0.0018763497329378244,False,False,6.075355628932396,0.7879017194276043
BNGA,1.5C,DSIB,21.727980994539575,30.84418476655063,52.572165761090204,41.49388829237968,11.078277468710525,456.95088543037974,3366.8561392405063,22798.7664556962,14430.569303797469,467.08835443037975,436.6413924050633,22200.875851996105,0.233,0.2306319778502629,0.0023680221497370964,0.00049900182058423,0.23250099817941577,annual_report_2024,0.0198647736150057,0.016846052938448104,0.003018720676557597,False,False,12.040124155778635,1.5614616005823583
BDMN,BAU,Large,0.0,0.0,0.0,33.390580496232495,0.0,0.0,3280.0985443037976,15337.629113924051,11612.43512658228,,208.28386075949368,17865.284810126584,0.262,0.262,0.0,0.0,0.262,annual_report_2024,0.014195891583529,0.013579925502984428,0.0006159660805445718,False,False,0.0,0.0
BDMN,2C,Large,7.199204995252667,0.0,7.199204995252667,33.390580496232495,0.0,0.0,3280.0985443037976,15337.629113924051,11612.43512658228,,208.28386075949368,17865.284810126584,0.262,0.26159702825497794,0.0004029717450220519,0.0,0.262,annual_report_2024,0.014195891583529,0.0131105436355668,0.0010853479479622005,False,False,3.4564391926485474,0.21948136307534935
BDMN,1.5C,Large,11.559572835708227,0.0,11.559572835708227,33.390580496232495,0.0,0.0,3280.0985443037976,15337.629113924051,11612.43512658228,,208.28386075949368,17865.284810126584,0.262,0.2613529589391625,0.0006470410608374914,0.0,0.262,annual_report_2024,0.014195891583529,0.01282625146706619,0.00136964011646281,False,False,5.549912889821126,0.3524154131217345
PNBN,BAU,Large,0.0,0.07146583259268988,0.07146583259268988,0.0132911392405063,0.058174693352183574,31.762592263417723,3548.7098734177216,15440.416139240506,9412.5632278481,32.0246835443038,181.44069620253163,14480.866504381693,0.345,0.3449950648096527,4.935190347281041e-06,4.01734891586638e-06,0.3449959826510841,annual_report_2024,0.0123045323062255,0.011746395222406244,0.0005581370838192556,False,False,0.03938798411185369,0.0020138539114740862
PNBN,2C,Large,0.0,0.7146583259268988,0.7146583259268988,0.0132911392405063,0.7013671866863925,31.762592263417723,3548.7098734177216,15440.416139240506,9412.5632278481,32.0246835443038,181.44069620253163,14480.866504381693,0.345,0.34495064809652715,4.935190347281041e-05,4.8434062041395754e-05,0.34495156593795856,annual_report_2024,0.0123045323062255,0.011704738800226041,0.0005997935059994589,False,False,0.3938798411185369,0.020138539114740863
PNBN,1.5C,Large,0.0,2.143974977780696,2.143974977780696,0.0132911392405063,2.1306838385401896,31.762592263417723,3548.7098734177216,15440.416139240506,9412.5632278481,32.0246835443038,181.44069620253163,14480.866504381693,0.345,0.34485194428958155,0.0001480557104184312,0.00014713786898701652,0.34485286213101296,annual_report_2024,0.0123045323062255,0.011612168973158926,0.000692363333066574,False,False,1.1816395233556105,0.06041561734422258
