ticker,year,total_assets_usd_m,total_equity_usd_m,gross_loans_usd_m,net_loans_usd_m,total_deposits_usd_m,net_income_usd_m,net_income_parent_usd_m,profit_before_tax_usd_m,interest_income_usd_m,interest_expense_usd_m,net_interest_income_usd_m,provision_expense_usd_m,npl_amount_usd_m,mining_loans_usd_m,loan_allowance_usd_m,mining_share,roa,roe,nim,ldr,npl_gross,npf_gross_reported,npf_net_reported,market_cap_usd_m,beta,stock_volatility,sharpe_proxy,wacc_base,wacc_climate,cost_of_equity_base,cost_of_equity_climate,cost_of_debt,tier1_ratio,total_car,fs_currency,fs_rounding,has_lseg_reference,reported_car,car_source,deposit_to_asset,ldr_usd,equity_ratio,mining_loan_share,size_category
BTPN,2024,15259.26753164557,3464.93917721519,11354.72259493671,11354.72259493671,6936.289683544303,203.55949367088607,178.03708860759494,260.7894303797468,1492.932594936709,530.3831012658228,962.549493670886,,151.09645569620253,152.1742405063291,,0.0160320131768601,0.0145352057550582,0.0669846652697921,0.0687310362569175,1.6370023619219252,0.0159184653108068,1.6e-20,4.4e-21,1299.84007563464,0.1005,0.1848457290332406,-0.2165449451000351,0.1034,0.1061,0.068,0.078,0.1499,,,Rupiah / IDR,Jutaan / In Million,1,,not_available,0.4545624270076802,1.6370023619219254,0.22707113365889905,0.01340184572841846,Large
BJBR,2024,13921.562848101266,1242.955759493671,9266.186392405063,9266.186392405063,9026.066518987342,92.10037974683544,86.67487341772151,112.8976582278481,1004.5876582278481,585.1781012658228,419.4095569620253,,,,,,0.0071287885779737,0.0829456027050376,0.0324632978428806,1.0266029363857003,,2.16e-32,9.6e-33,503.512861087485,0.9278,0.2027351384782223,-0.5677680357992859,0.1488,0.1505,0.1135,0.1235,0.2,,,Rupiah / IDR,Jutaan / In Million,1,,not_available,0.648351526151993,1.0266029363857005,0.08928277471829933,,Large
BNII,2024,12479.735569620254,1975.2146202531646,8074.747784810126,8074.747784810126,7531.891835443038,75.86348101265823,70.63056962025317,101.28563291139241,826.7216455696203,377.0121518987342,449.7094936708861,0.17974683544303796,201.61664556962026,344.4572784810127,,0.0452071529940202,0.0064970112489659,0.0386631437998175,0.0385134929236773,1.0720743156204868,0.0264605079114604,2.68e-06,1.42e-06,974.372514388968,0.5057,0.1778293618266003,-0.5963304249226726,0.1238,0.1269,0.0903,0.1003,0.1778,,,Rupiah / IDR,Jutaan / In Million,1,,not_available,0.603529761782623,1.0720743156204866,0.15827375582071476,0.042658580510587726,Large
MEGA,2025,8913.167341772152,1587.1112658227848,4255.097088607595,4255.097088607595,6590.566329113924,,,,,,,,70.1726582278481,563.1632911392405,,0.1323502800081879,,,,0.6456345139583287,0.0164914352755252,1.65e-06,1.07e-06,2275.06519492883,0.5638,0.1973983243495471,-0.6055422462248322,0.1133,0.1202,0.0935,0.1035,0.2,,,Rupiah / IDR,Jutaan / In Million,1,0.256,ojk_report_2024,0.7394191174024969,0.6456345139583286,0.17806366748941,0.13235028000818796,Large
BJTM,2024,7477.349810126582,924.0531012658228,4765.530632911393,4765.495189873418,4719.503227848101,82.01379746835443,82.01379746835443,106.50107594936709,513.0228481012658,133.26132911392406,432.0591139240506,,,,0.035443037974683546,,0.0116741990541309,0.0968795759786847,0.0615011651063595,1.0097525953137825,,,,502.564980282918,1.0713,0.1896590113041508,-0.350667954074835,0.1413,0.1456,0.1214,0.1314,0.2,,,Rupiah / IDR,Jutaan / In Million,1,,not_available,0.6311732562593866,1.0097525953137823,0.1235802957906793,,Large
BBKP,2024,5257.930253164557,503.9105063291139,3008.068734177215,3008.068734177215,2948.9340506329113,-400.54556962025316,-400.57835443037976,-310.39367088607594,345.19613924050634,272.23886075949366,72.95727848101266,,261.7408860759494,167.9522151898734,,0.0558339020919389,-0.0756186135908823,-0.5734536628369339,0.0137735345701827,1.0200529013294184,0.0870129339473163,0.0,0.0,793.536874812811,1.3116,0.332391694424915,-0.8694610722227766,0.14,0.1436,0.1346,0.1446,0.1834,,,Rupiah / IDR,Jutaan / In Million,1,0.164,annual_report_2024,0.560854539456482,1.0200529013294184,0.09583818766440054,0.05583390209193897,Large
SDRA,2024,3717.2680379746835,872.2268987341772,2967.324050632911,2967.324050632911,2021.6512025316456,32.666518987341775,32.666518987341775,43.09398734177215,259.4031012658228,147.29132911392406,112.11177215189873,,54.81354430379747,0.0,,0.0,0.0090904130558178,0.042913883012939,0.0311983752439434,1.4677725054238,0.0184723823109599,1.85e-12,1.28e-12,238.107589871886,0.157,0.1913497661051402,-0.875118846172114,0.1346,0.1371,0.0711,0.0811,0.2,,,Rupiah / IDR,Jutaan / In Million,1,,not_available,0.5438540298625122,1.4677725054237998,0.23464191708096502,0.0,Medium
BSIM,2024,3520.533734177215,544.2798734177215,908.5951265822785,908.5951265822785,2312.3175949367087,23.42639240506329,18.40791139240506,27.773164556962026,191.07044303797468,52.50683544303797,210.11278481012658,,,,,,0.0068379632780069,0.0450661405214414,0.0613301221088095,0.3929369947155325,,,,1319.7171352242,0.0443,0.5456959148303899,0.3769191342522363,0.0727,0.0819,0.0649,0.0749,0.2,,,Rupiah / IDR,Jutaan / In Million,1,,not_available,0.656808816370317,0.39293699471553256,0.15460152196068228,,Medium
MCOR,2024,2123.1304430379746,433.02506329113925,1485.0506962025318,1485.0506962025318,1478.321075949367,18.69632911392405,18.69632911392405,24.195506329113925,135.56582278481014,72.53987341772152,63.02594936708861,,,,,,0.0096226213592375,0.0441479910147341,0.0324381777230429,1.004552204769754,,,,164.768651095255,0.9245,0.2096609076706742,-0.5852272277258759,0.1317,0.1374,0.1133,0.1233,0.2,,,Rupiah / IDR,Jutaan / In Million,1,,not_available,0.6962930990872357,1.0045522047697542,0.20395593907622853,,Medium
NOBU,2024,2109.227911392405,230.93879746835444,1277.5241139240507,1277.5241139240507,1543.8787974683544,20.82278481012658,20.82278481012658,26.722594936708862,134.2512658227848,71.41227848101266,62.83898734177215,,,,,,0.0109761513419771,0.0942173999205022,0.0331238228473861,0.8274769470368587,,,,230.540997419929,-0.0753,0.4784597250867192,-0.0071290382619378,0.1122,0.1167,0.0584,0.0684,0.2,,,Rupiah / IDR,Jutaan / In Million,1,,not_available,0.7319639518942095,0.8274769470368587,0.10948973139460325,,Medium
